,Species,AssociatedMedia,UnitID
0,Heliconius erato ssp. venus,https://zenodo.org/record/4289223/files/15N145_d.JPG,15N145_d.jpg
1,Heliconius erato ssp. venus,https://zenodo.org/record/4289223/files/15N146_d.JPG,15N146_d.jpg
2,Heliconius erato ssp. venus,https://zenodo.org/record/4289223/files/15N149_d.JPG,15N149_d.jpg
3,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/18N0602_d.JPG,18N0602_d.jpg
4,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/18N0614_d.JPG,18N0614_d.jpg
5,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/18N0651_d.JPG,18N0651_d.jpg
6,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0004_d.JPG,19N0004_d.jpg
7,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0005_d.JPG,19N0005_d.jpg
8,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0006_d.JPG,19N0006_d.jpg
9,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0007_d.JPG,19N0007_d.jpg
10,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0008_d.JPG,19N0008_d.jpg
11,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0009_d.JPG,19N0009_d.jpg
12,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0011_d.JPG,19N0011_d.jpg
13,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0016_d.JPG,19N0016_d.jpg
14,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0017_d.JPG,19N0017_d.jpg
15,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0018_d.JPG,19N0018_d.jpg
16,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0019_d.JPG,19N0019_d.jpg
17,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0020_d.JPG,19N0020_d.jpg
18,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0021_d.JPG,19N0021_d.jpg
19,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0022_d.JPG,19N0022_d.jpg
20,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0023_d.JPG,19N0023_d.jpg
21,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0025_d.JPG,19N0025_d.jpg
22,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0028_d.JPG,19N0028_d.jpg
23,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0030_d.JPG,19N0030_d.jpg
24,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0032_d.JPG,19N0032_d.jpg
25,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0037_d.JPG,19N0037_d.jpg
26,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0038_d.JPG,19N0038_d.jpg
27,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0039_d.JPG,19N0039_d.jpg
28,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0040_d.JPG,19N0040_d.jpg
29,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0041_d.JPG,19N0041_d.jpg
30,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0042_d.JPG,19N0042_d.jpg
31,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0043_d.JPG,19N0043_d.jpg
32,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0044_d.JPG,19N0044_d.jpg
33,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0045_d.JPG,19N0045_d.jpg
34,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0046_d.JPG,19N0046_d.jpg
35,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0047_d.JPG,19N0047_d.jpg
36,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0049_d.JPG,19N0049_d.jpg
37,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0050_d.JPG,19N0050_d.jpg
38,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0051_d.JPG,19N0051_d.jpg
39,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0051_d.CR2,19N0051_d.jpg
40,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0053_d.JPG,19N0053_d.jpg
41,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0054_d.JPG,19N0054_d.jpg
42,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0055_d.JPG,19N0055_d.jpg
43,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0057_d.JPG,19N0057_d.jpg
44,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0057_d.CR2,19N0057_d.jpg
45,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0060_d.JPG,19N0060_d.jpg
46,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0062_d.JPG,19N0062_d.jpg
47,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0064_d.JPG,19N0064_d.jpg
48,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0065_d.JPG,19N0065_d.jpg
49,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0066_d.JPG,19N0066_d.jpg
50,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0067_d.JPG,19N0067_d.jpg
51,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0069_d.JPG,19N0069_d.jpg
52,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0070_d.JPG,19N0070_d.jpg
53,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0071_d.JPG,19N0071_d.jpg
54,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0072_d.JPG,19N0072_d.jpg
55,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0077_d.JPG,19N0077_d.jpg
56,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0079_d.JPG,19N0079_d.jpg
57,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0080_d.JPG,19N0080_d.jpg
58,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0081_d.JPG,19N0081_d.jpg
59,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0082_d.JPG,19N0082_d.jpg
60,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0083_d.JPG,19N0083_d.jpg
61,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0085_d.JPG,19N0085_d.jpg
62,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0087_d.JPG,19N0087_d.jpg
63,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0090_d.JPG,19N0090_d.jpg
64,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0092_d.JPG,19N0092_d.jpg
65,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0093_d.JPG,19N0093_d.jpg
66,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0104_d.JPG,19N0104_d.jpg
67,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0108_d.JPG,19N0108_d.jpg
68,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0109_d.JPG,19N0109_d.jpg
69,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0113_d.JPG,19N0113_d.jpg
70,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0120_d.JPG,19N0120_d.jpg
71,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0121_d.JPG,19N0121_d.jpg
72,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0122_d.JPG,19N0122_d.jpg
73,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0124_d.JPG,19N0124_d.jpg
74,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0125_d.JPG,19N0125_d.jpg
75,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0129_d.JPG,19N0129_d.jpg
76,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0132_d.JPG,19N0132_d.jpg
77,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0138_d.JPG,19N0138_d.jpg
78,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0142_d.JPG,19N0142_d.jpg
79,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0143_d.JPG,19N0143_d.jpg
80,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0145_d.JPG,19N0145_d.jpg
81,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0146_d.JPG,19N0146_d.jpg
82,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0149_d.JPG,19N0149_d.jpg
83,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0151_d.JPG,19N0151_d.jpg
84,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0154_d.JPG,19N0154_d.jpg
85,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0155_d.JPG,19N0155_d.jpg
86,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0156_d.JPG,19N0156_d.jpg
87,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0157_d.JPG,19N0157_d.jpg
88,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0159_d.JPG,19N0159_d.jpg
89,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0161_d.JPG,19N0161_d.jpg
90,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0165_d.JPG,19N0165_d.jpg
91,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0166_d.JPG,19N0166_d.jpg
92,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0167_d.JPG,19N0167_d.jpg
93,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0168_d.JPG,19N0168_d.jpg
94,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0176_d.JPG,19N0176_d.jpg
95,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0188_d.JPG,19N0188_d.jpg
96,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0189_d.JPG,19N0189_d.jpg
97,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0191_d.JPG,19N0191_d.jpg
98,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0192_d.JPG,19N0192_d.jpg
99,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0193_d.JPG,19N0193_d.jpg
100,Heliconius erato ssp. lativitta,https://zenodo.org/record/4288311/files/19N0195_d.JPG,19N0195_d.jpg
